,precision,recall,f1-score,support
incorrect,0.99375,0.9578313253012049,0.9754601226993865,166.0
correct,0.9746376811594203,0.9962962962962963,0.9853479853479854,270.0
accuracy,0.981651376146789,0.981651376146789,0.981651376146789,0.981651376146789
macro avg,0.9841938405797102,0.9770638107987506,0.980404054023686,436.0
weighted avg,0.9819143897088153,0.981651376146789,0.9815833403946199,436.0
